tag,functional_intent,cisco_ios,cisco_iosxe,cisco_nxos,extreme_exos,extreme_voss,extreme_slxos,negation_cisco,negation_en,notes,source_ref,page_ref,confidence,is_verified
IF-PHYS,Show all interfaces,"show interfaces","show interfaces","show interface","show ports information detail","show interfaces GigabitEthernet all","show interface","","","Full interface details on all platforms","CLI-XRef-Guide-2018","p.80",1.0,true
IF-PHYS,Show interface brief status,"show interfaces status","show interfaces status","show interface status","show ports information","show interfaces GigabitEthernet all","show interface status","","","One-line per-port summary","CLI-XRef-Guide-2018","p.80",1.0,true
IF-PHYS,Enter interface configuration mode,"interface GigabitEthernet<p>","interface GigabitEthernet<p>","interface Ethernet<p>","configure ports <p>","interface GigabitEthernet <p>","interface Ethernet <p>","no interface","","EXOS: configure ports directly without interface sub-mode","CLI-XRef-Guide-2018","p.81",1.0,true
IF-PHYS,Shut down / disable a port,shutdown,shutdown,shutdown,"disable ports <p>",shutdown,shutdown,"no shutdown","enable ports <p>","EXOS: disable/enable are top-level commands","CLI-XRef-Guide-2018","p.82",1.0,true
IF-PHYS,Enable / bring up a port,"no shutdown","no shutdown","no shutdown","enable ports <p>","no shutdown","no shutdown",shutdown,"disable ports <p>","","CLI-XRef-Guide-2018","p.82",1.0,true
IF-PHYS,Set port description,"description <text>","description <text>","description <text>","configure ports <p> display-string <text>","name <text>","description <text>","no description","configure ports <p> display-string """"","VOSS uses 'name' under interface context","CLI-XRef-Guide-2018","p.83",1.0,true
IF-PHYS,Set port speed,"speed <10|100|1000>","speed <10|100|1000|10000>","speed <100|1000|10000>","configure ports <p> speed <1000|10000>","speed <100|1000|10000>","speed <1000|10000|25000|40000|100000>","speed auto","configure ports <p> auto on","SLX supports high-speed options","CLI-XRef-Guide-2018","p.83",1.0,true
IF-PHYS,Set port duplex,"duplex <full|half|auto>","duplex <full|half|auto>","duplex <full|auto>","configure ports <p> duplex <full|half|auto>","duplex <full|half>","duplex full","duplex auto","configure ports <p> auto on","NX-OS does not support half duplex","CLI-XRef-Guide-2018","p.83",1.0,true
IF-PHYS,Enable auto-negotiation,"speed auto","speed auto","speed auto","configure ports <p> auto on","auto-negotiation enable","","","configure ports <p> auto off","Default on most ports","CLI-XRef-Guide-2018","p.83",1.0,true
IF-PHYS,Enable PoE on port,"power inline auto","power inline auto","power inline auto","enable inline-power ports <p>","poe enable","","power inline never","disable inline-power ports <p>","","CLI-XRef-Guide-2018","p.84",1.0,true
IF-PHYS,Disable PoE on port,"power inline never","power inline never","power inline never","disable inline-power ports <p>","poe disable","","power inline auto","enable inline-power ports <p>","","CLI-XRef-Guide-2018","p.84",1.0,true
IF-PHYS,Set PoE power limit,"power inline auto max <milliwatts>","power inline auto max <milliwatts>","power inline auto max <milliwatts>","configure inline-power ports <p> limit <milliwatts>","poe limit <milliwatts>","","","","Per-port power budget","CLI-XRef-Guide-2018","p.84",0.8,true
IF-PHYS,Show PoE status,"show power inline","show power inline","show power inline","show inline-power info ports","show poe port info <p>","","","","","CLI-XRef-Guide-2018","p.84",1.0,true
IF-PHYS,Show PoE detail per port,"show power inline <p>","show power inline <p>","show power inline <p>","show inline-power info ports <p> detail","show poe port info <p>","","","","","CLI-XRef-Guide-2018","p.84",1.0,true
