tag,functional_intent,cisco_ios,cisco_iosxe,cisco_nxos,extreme_exos,extreme_voss,extreme_slxos,negation_cisco,negation_en,notes,source_ref,page_ref,confidence,is_verified
L3-VIRT,Enable IP routing globally,"ip routing","ip routing","feature bgp | ip routing","enable ipforwarding","ip routing","","no ip routing","disable ipforwarding","Must be enabled before any L3 forwarding","CLI-XRef-Guide-2018","p.150",1.0,true
L3-VIRT,Configure SVI (VLAN interface) IP,"interface vlan <id> | ip address <ip> <mask>","interface vlan <id> | ip address <ip> <mask>","interface vlan <id> | ip address <ip>/<prefix>","configure vlan <name> ipaddress <ip>/<prefix>","interface vlan <id> | ip address <ip> <mask>","interface vlan <id> | ip address <ip>/<prefix>","no ip address","configure vlan <name> ipaddress delete <ip>/<prefix>","EXOS: IP address assigned directly to VLAN object","CLI-XRef-Guide-2018","p.151",1.0,true
L3-VIRT,Configure secondary IP on interface,"interface <p> | ip address <ip> <mask> secondary","interface <p> | ip address <ip> <mask> secondary","interface <p> | ip address <ip>/<prefix> secondary","configure vlan <name> add secondary-ipaddress <ip>/<prefix>","interface vlan <id> | ip address <ip> <mask> secondary","","no ip address <ip> secondary","","","CLI-XRef-Guide-2018","p.151",0.8,true
L3-VIRT,Configure default route,"ip route 0.0.0.0 0.0.0.0 <gw>","ip route 0.0.0.0 0.0.0.0 <gw>","ip route 0.0.0.0/0 <gw>","configure iproute add default <gw>","ip route 0.0.0.0 0.0.0.0 <gw>","ip route 0.0.0.0/0 <gw>","no ip route 0.0.0.0 0.0.0.0","configure iproute delete default <gw>","","CLI-XRef-Guide-2018","p.152",1.0,true
L3-VIRT,Configure static route,"ip route <dst> <mask> <gw>","ip route <dst> <mask> <gw>","ip route <dst>/<prefix> <gw>","configure iproute add <dst>/<prefix> <gw>","ip route <dst> <mask> <gw>","ip route <dst>/<prefix> <gw>","no ip route <dst> <mask>","configure iproute delete <dst>/<prefix> <gw>","","CLI-XRef-Guide-2018","p.152",1.0,true
L3-VIRT,Static route with admin distance,"ip route <dst> <mask> <gw> <distance>","ip route <dst> <mask> <gw> <distance>","ip route <dst>/<prefix> <gw> <distance>","configure iproute add <dst>/<prefix> <gw> distance <n>","ip route <dst> <mask> <gw>","","no ip route <dst> <mask>","","Used for floating static routes (backup)","CLI-XRef-Guide-2018","p.152",0.8,true
L3-VIRT,Show IP routing table,"show ip route","show ip route","show ip route","show iproute","show ip route","show ip route","","","","CLI-XRef-Guide-2018","p.153",1.0,true
L3-VIRT,Show IP route for specific prefix,"show ip route <prefix>","show ip route <prefix>","show ip route <prefix>","show iproute <prefix>","show ip route <prefix>","show ip route <prefix>","","","","CLI-XRef-Guide-2018","p.153",1.0,true
L3-VIRT,Show IP route summary,"show ip route summary","show ip route summary","show ip route summary","show iproute summary","show ip route summary","show ip route summary","","","","CLI-XRef-Guide-2018","p.153",0.8,true
L3-VIRT,Enable OSPF process,"router ospf <id>","router ospf <id>","feature ospf | router ospf <id>","enable ospf | configure ospf add vlan <name> area <area>","router ospf <id> | enable","","no router ospf <id>","disable ospf","NX-OS: feature ospf first","CLI-XRef-Guide-2018","p.155",1.0,true
L3-VIRT,OSPF network statement,"network <ip> <wild> area <id>","network <ip> <wild> area <id>","network <ip>/<prefix> area <id>","configure ospf add vlan <name> area <id>","interface vlan <id> | ip ospf enable","","no network <ip> <wild> area <id>","configure ospf delete vlan <name>","VOSS: OSPF enabled per-interface","CLI-XRef-Guide-2018","p.155",1.0,true
L3-VIRT,Set OSPF router-id,"router-id <ip>","router-id <ip>","router-id <ip>","configure ospf routerid <ip>","router-id <ip>","","no router-id","configure ospf routerid <ip>","","CLI-XRef-Guide-2018","p.155",1.0,true
L3-VIRT,OSPF passive interface,"passive-interface <p>","passive-interface <p>","passive-interface <p>","configure ospf vlan <name> passive","ip ospf passive","","no passive-interface <p>","","Sends but does not receive OSPF hellos","CLI-XRef-Guide-2018","p.156",1.0,true
L3-VIRT,OSPF interface cost,"ip ospf cost <n>","ip ospf cost <n>","ip ospf cost <n>","configure ospf vlan <name> cost <n>","ip ospf cost <n>","","no ip ospf cost","","Lower cost = preferred path","CLI-XRef-Guide-2018","p.156",0.8,true
L3-VIRT,OSPF interface hello timer,"ip ospf hello-interval <sec>","ip ospf hello-interval <sec>","ip ospf hello-interval <sec>","configure ospf vlan <name> hello-interval <sec>","ip ospf hello-interval <sec>","","no ip ospf hello-interval","","Default 10s on broadcast; 30s on NBMA","CLI-XRef-Guide-2018","p.156",0.8,true
L3-VIRT,Show OSPF neighbors,"show ip ospf neighbor","show ip ospf neighbor","show ip ospf neighbors","show ospf neighbor","show ip ospf neighbor","show ip ospf neighbor","","","","CLI-XRef-Guide-2018","p.157",1.0,true
L3-VIRT,Show OSPF database,"show ip ospf database","show ip ospf database","show ip ospf database","show ospf lsdb","show ip ospf database","show ip ospf database","","","","CLI-XRef-Guide-2018","p.157",1.0,true
