tag,functional_intent,cisco_ios,cisco_iosxe,cisco_nxos,extreme_exos,extreme_voss,extreme_slxos,negation_cisco,negation_en,notes,source_ref,page_ref,confidence,is_verified
SEC-ID,Enable AAA framework,"aaa new-model","aaa new-model","feature aaa","enable radius","radius-server enable","","no aaa new-model","disable radius","Cisco: single command enables AAA globally; EXOS uses radius enable","CLI-XRef-Guide-2018","p.45",1.0,true
SEC-ID,Configure RADIUS server,"radius server <name> | address ipv4 <ip> key <key>","radius server <name> | address ipv4 <ip> auth-port 1812 | key <key>","radius-server host <ip> key <key>","configure radius primary server <ip> 1812 client-ip <ip> shared-secret <key>","radius-server host <ip> key <key>","radius-server host <ip> key <key>","no radius server <name>","configure radius primary server <ip> delete","IOS uses radius server block; NX-OS/VOSS use host-key syntax","CLI-XRef-Guide-2018","p.46",1.0,true
SEC-ID,Configure secondary RADIUS server,"radius server <name> | address ipv4 <ip> key <key>","radius server <name2> | address ipv4 <ip> auth-port 1812 | key <key>","radius-server host <ip2> key <key>","configure radius secondary server <ip> 1812 client-ip <ip> shared-secret <key>","radius-server host <ip> key <key>","radius-server host <ip> key <key>","","","Defines fallback RADIUS server","CLI-XRef-Guide-2018","p.46",0.8,true
SEC-ID,Configure TACACS+ server,"tacacs-server host <ip> key <key>","tacacs server <name> | address ipv4 <ip> | key <key>","feature tacacs+ | tacacs-server host <ip> key <key>","configure tacacs primary server <ip> 49 client-ip <ip> shared-secret <key>","","tacacs-server host <ip>","no tacacs-server host <ip>","configure tacacs primary server <ip> delete","IOS-XE uses tacacs server block (newer syntax)","CLI-XRef-Guide-2018","p.47",1.0,true
SEC-ID,AAA authentication login default RADIUS,"aaa authentication login default group radius local","aaa authentication login default group radius local","aaa authentication login default group radius","configure radius mgmt-access primary server <ip>","aaa authentication login default group radius local","","no aaa authentication login default","","'local' fallback ensures access if RADIUS is unreachable","CLI-XRef-Guide-2018","p.48",1.0,true
SEC-ID,AAA authentication login default TACACS+,"aaa authentication login default group tacacs+ local","aaa authentication login default group tacacs+ local","aaa authentication login default group tacacs+","configure tacacs mgmt-access primary server <ip>","","","no aaa authentication login default","","","CLI-XRef-Guide-2018","p.48",1.0,true
SEC-ID,AAA authorization exec,"aaa authorization exec default group tacacs+ local","aaa authorization exec default group tacacs+ local","aaa authorization exec default group tacacs+","","","","no aaa authorization exec","","Required for per-user privilege assignment via TACACS+","CLI-XRef-Guide-2018","p.48",1.0,true
SEC-ID,AAA accounting commands,"aaa accounting commands 15 default start-stop group tacacs+","aaa accounting commands 15 default start-stop group tacacs+","aaa accounting commands default start-stop group tacacs+","","","","no aaa accounting commands","","Records all privilege-15 commands for audit","CLI-XRef-Guide-2018","p.49",1.0,true
SEC-ID,802.1X global enable,"dot1x system-auth-control","dot1x system-auth-control","feature dot1x","enable netlogin dot1x","eapol enable","","no dot1x system-auth-control","disable netlogin dot1x | eapol disable","Cisco: single global command; EXOS enables per-method","CLI-XRef-Guide-2018","p.52",1.0,true
SEC-ID,802.1X on a port,"interface <p> | dot1x pae authenticator","interface <p> | authentication port-control auto | dot1x pae authenticator","interface <p> | dot1x port-control auto","configure netlogin add ports <p> dot1x","eapol port <p> status auto","","no dot1x pae","configure netlogin delete ports <p> dot1x","EXOS: must add port to netlogin; VOSS: status auto=dot1x enabled","CLI-XRef-Guide-2018","p.52",1.0,true
SEC-ID,802.1X show auth status,"show dot1x all","show authentication sessions","show dot1x all","show netlogin state port <p>","show eapol port <p>","","","","","CLI-XRef-Guide-2018","p.53",1.0,true
SEC-ID,MAC Authentication Bypass (MAB),"interface <p> | mab","interface <p> | mab","","enable netlogin mac","eapol multihost mac-non-eap enable","","no mab","disable netlogin mac","Used as fallback for non-802.1X clients","CLI-XRef-Guide-2018","p.54",1.0,true
SEC-ID,Guest VLAN for failed 802.1X,"interface <p> | dot1x guest-vlan <id>","interface <p> | authentication event fail action authorize vlan <id>","interface <p> | dot1x guest-vlan <id>","configure netlogin guest-vlan <name>","eapol port <p> guest-vlan <id>","","no dot1x guest-vlan","configure netlogin delete guest-vlan","Assigns unauthenticated clients to guest VLAN","CLI-XRef-Guide-2018","p.55",1.0,true
SEC-ID,Auth-fail VLAN (restricted),,"interface <p> | authentication event fail action authorize vlan <id>","","configure netlogin authentication failure vlan <name>","","","","","Cisco IOS-XE: uses 'authentication event fail' syntax","CLI-XRef-Guide-2018","p.55",0.8,true
SEC-ID,Create named extended ACL,"ip access-list extended <name>","ip access-list extended <name>","ip access-list <name>","create access-list <name> <condition> <action>","ip access-list <name>","ip access-list <name>","no ip access-list extended <name>","delete access-list <name>","EXOS ACL uses condition-action syntax inline","CLI-XRef-Guide-2018","p.58",1.0,true
SEC-ID,Create named standard ACL,"ip access-list standard <name>","ip access-list standard <name>","ip access-list <name>","create access-list <name> <condition> <action>","ip access-list <name>","ip access-list <name>","no ip access-list standard <name>","delete access-list <name>","","CLI-XRef-Guide-2018","p.58",1.0,true
SEC-ID,ACL permit statement,"permit ip <src> <wild> <dst> <wild>","permit ip <src> <wild> <dst> <wild>","permit ip <src>/<prefix> <dst>/<prefix>","permit ipaddress <src>/<prefix> <dst>/<prefix>","permit ip <src> <wild> <dst> <wild>","permit ip <src>/<prefix> <dst>/<prefix>","","","EXOS uses CIDR notation inline; NX-OS CIDR for both","CLI-XRef-Guide-2018","p.58",1.0,true
SEC-ID,ACL deny statement,"deny ip <src> <wild> <dst> <wild> log","deny ip <src> <wild> <dst> <wild> log","deny ip <src>/<prefix> <dst>/<prefix> log","deny ipaddress <src>/<prefix> <dst>/<prefix>","deny ip <src> <wild> <dst> <wild>","deny ip <src>/<prefix> <dst>/<prefix>","","","Add 'log' to Cisco for syslog on matches","CLI-XRef-Guide-2018","p.58",1.0,true
SEC-ID,Apply ACL to interface inbound,"interface <p> | ip access-group <name> in","interface <p> | ip access-group <name> in","interface <p> | ip access-group <name> in","configure access-list <name> ports <p> ingress","interface vlan <id> | ip access-group <name> in","interface <p> | ip access-group <name> in","no ip access-group <name> in","configure access-list <name> ports <p> ingress delete","","CLI-XRef-Guide-2018","p.59",1.0,true
SEC-ID,Apply ACL to interface outbound,"interface <p> | ip access-group <name> out","interface <p> | ip access-group <name> out","interface <p> | ip access-group <name> out","configure access-list <name> ports <p> egress","","interface <p> | ip access-group <name> out","no ip access-group <name> out","configure access-list <name> ports <p> egress delete","VOSS does not support egress ACL on all port types","CLI-XRef-Guide-2018","p.59",0.8,true
SEC-ID,Show ACL,"show ip access-lists","show ip access-lists","show ip access-lists","show access-list","show ip access-lists","show ip access-lists","","","","CLI-XRef-Guide-2018","p.60",1.0,true
SEC-ID,Enable SSH version 2,"crypto key generate rsa | ip ssh version 2","crypto key generate rsa modulus 2048 | ip ssh version 2","feature ssh | ssh key rsa 2048","enable ssh2","boot config flags sshd","","no ip ssh","disable ssh2","Requires domain name set prior to key generation","CLI-XRef-Guide-2018","p.25",1.0,true
SEC-ID,Set SSH timeout,"ip ssh time-out <n>","ip ssh time-out <n>","ssh timeout <n>","configure ssh2 timeout <n>","ip ssh timeout <n>","","no ip ssh time-out","","","CLI-XRef-Guide-2018","p.25",1.0,true
SEC-ID,Set SSH max auth retries,"ip ssh authentication-retries <n>","ip ssh authentication-retries <n>","","","","","no ip ssh authentication-retries","","Limit brute-force attempts","CLI-XRef-Guide-2018","p.25",0.8,true
SEC-ID,DHCP snooping global enable,"ip dhcp snooping","ip dhcp snooping","feature dhcp | ip dhcp snooping","enable dhcp snooping","ip dhcp snooping enable","","no ip dhcp snooping","disable dhcp snooping","Prevents rogue DHCP servers","CLI-XRef-Guide-2018","p.62",1.0,true
SEC-ID,DHCP snooping per-VLAN,"ip dhcp snooping vlan <id>","ip dhcp snooping vlan <id>","ip dhcp snooping vlan <id>","configure dhcp snooping add ports <p>","ip dhcp snooping vlan <id>","","no ip dhcp snooping vlan <id>","configure dhcp snooping delete ports <p>","Must be enabled per-VLAN on Cisco","CLI-XRef-Guide-2018","p.62",1.0,true
SEC-ID,DHCP snooping trusted port,"interface <p> | ip dhcp snooping trust","interface <p> | ip dhcp snooping trust","interface <p> | ip dhcp snooping trust","configure dhcp snooping ports <p> trust","ip dhcp snooping trust","","no ip dhcp snooping trust","","Uplinks and DHCP server ports are trusted","CLI-XRef-Guide-2018","p.62",1.0,true
SEC-ID,Dynamic ARP inspection per-VLAN,"ip arp inspection vlan <id>","ip arp inspection vlan <id>","ip arp inspection vlan <id>","enable arp-learning learn-from-arp","ip arp inspection vlan <id>","","no ip arp inspection vlan <id>","disable arp-learning","Requires DHCP snooping binding table","CLI-XRef-Guide-2018","p.63",1.0,true
SEC-ID,DAI trusted port,"interface <p> | ip arp inspection trust","interface <p> | ip arp inspection trust","interface <p> | ip arp inspection trust","","","","no ip arp inspection trust","","Set on uplinks","CLI-XRef-Guide-2018","p.63",1.0,true
SEC-ID,Port security — max MACs,"switchport port-security maximum 1","switchport port-security maximum 1","","configure mac-locking ports <p> enable | enable mac-locking","mac-security port <p> max-addrs 1","","no switchport port-security","configure mac-locking ports <p> disable","NX-OS uses different mechanism; EXOS uses mac-locking","CLI-XRef-Guide-2018","p.64",1.0,true
