tag,functional_intent,cisco_ios,cisco_iosxe,cisco_nxos,extreme_exos,extreme_voss,extreme_slxos,negation_cisco,negation_en,notes,source_ref,page_ref,confidence,is_verified
SYS-INFO,Show platform version / OS,"show version","show version","show version","show version","show sys-info | show software detail","show version","","","All platforms; VOSS also uses show software detail for image details","CLI-XRef-Guide-2018","p.33",1.0,true
SYS-INFO,Show hostname,"show running-config | include hostname","show running-config | include hostname","show running-config | include hostname","show switch","show sys-info","show running-config | include hostname","","","EXOS and VOSS show hostname in switch info","CLI-XRef-Guide-2018","p.33",1.0,true
SYS-INFO,Show system uptime,"show version | include uptime","show version | include uptime","show version | include uptime","show switch","show sys-info","show version | include uptime","","","Uptime is embedded in show version output","CLI-XRef-Guide-2018","p.33",1.0,true
SYS-INFO,Show hardware inventory,"show inventory","show inventory","show inventory","show slot","show sys hardware","show inventory","","","Cisco: includes chassis, modules, power; EXOS: show slot","CLI-XRef-Guide-2018","p.34",1.0,true
SYS-INFO,Show module / line card status,"show module","show module","show module","show slot","show card","show module","","","","CLI-XRef-Guide-2018","p.34",1.0,true
SYS-INFO,Show CPU utilization,"show processes cpu","show processes cpu","show processes cpu","show cpu-monitoring","show process monitor cpu","show processes cpu","","","","CLI-XRef-Guide-2018","p.35",1.0,true
SYS-INFO,Show CPU top processes,"show processes cpu sorted","show processes cpu sorted","show processes cpu sort","show cpu-monitoring","show process monitor cpu","","","","Sorted by CPU consumption","CLI-XRef-Guide-2018","p.35",1.0,true
SYS-INFO,Show memory utilization,"show processes memory","show processes memory","show system memory","show memory","show storage-usage","show processes memory","","","VOSS uses show storage-usage for flash; show memory for RAM","CLI-XRef-Guide-2018","p.35",1.0,true
SYS-INFO,Show environment (fans/PSU/temp),"show environment","show environment all","show environment","show cooling | show temperature","show sys-info","show environment","","","EXOS splits into show cooling and show temperature","CLI-XRef-Guide-2018","p.36",1.0,true
SYS-INFO,Show temperature sensors,"show environment temperature","show environment temperature","show environment temperature status","show temperature","show sys-info | grep temp","","","","","CLI-XRef-Guide-2018","p.36",0.8,true
SYS-INFO,Show power supply status,"show environment power","show environment power","show environment power","show power","show sys hardware | include power","show environment","","","","CLI-XRef-Guide-2018","p.36",0.8,true
SYS-INFO,Show fan status,"show environment fan","show environment fan","show environment fan","show cooling","show sys hardware | include fan","show environment","","","","CLI-XRef-Guide-2018","p.36",0.8,true
SYS-INFO,Show hardware details,"","show hardware","show hardware","show switch","show sys hardware","show hardware","","","IOS-XE and NX-OS; EXOS uses show switch","CLI-XRef-Guide-2018","p.34",1.0,true
SYS-INFO,Show platform details,"","show platform","show platform","show switch","show card","","","","IOS-XE and NX-OS only","NB-Session-2026","",0.8,true
SYS-INFO,Show running configuration,"show running-config","show running-config","show running-config","show configuration","show running-config","show running-config","","","EXOS uses 'show configuration'","CLI-XRef-Guide-2018","p.37",1.0,true
SYS-INFO,Show startup configuration,"show startup-config","show startup-config","show startup-config","ls | more primary.cfg","show boot config","show startup-config","","","EXOS: ls lists config files; VOSS: show boot config","CLI-XRef-Guide-2018","p.37",1.0,true
SYS-INFO,Show software version detail,"show version","show version","show version","show version","show software detail","show version","","","VOSS show software detail lists primary/backup images","VOSS-8.9-UG","p.50",1.0,true
SYS-INFO,Show license status,"","show license status","show license","show licenses","show license","","","","","NB-Session-2026","",0.8,true
SYS-INFO,Show license detail,"","show license detail","show license usage","show licenses detail","","","","","","NB-Session-2026","",0.8,true
SYS-INFO,Show system alarms,"show facility-alarm status","show facility-alarm status","show logging | include alarm","show log | match error","show alarms","","","","Cisco IOS-XE uses facility-alarm; VOSS has dedicated show alarms","CLI-XRef-Guide-2018","p.38",1.0,true
SYS-INFO,Show active alarms (VOSS),"","","","","show alarms","","","","","VOSS-8.9-UG","p.55",1.0,true
SYS-INFO,Show USB status,"","show platform usb status","show hardware internal","show usb-port general","","","","","","NB-Session-2026","",0.8,true
SYS-INFO,Show boot integrity / secure boot,"","show system integrity","show system integrity","show switch","show software detail","","","","IOS-XE trust anchor; NX-OS similar","NB-Session-2026","",0.8,true
SYS-INFO,Show active sessions / users,"show users","show users","show users","show session","show telnet-access","show users","","","","CLI-XRef-Guide-2018","p.38",1.0,true
SYS-INFO,Show clock / system time,"show clock","show clock","show clock","show time","show clock","show clock","","","","CLI-XRef-Guide-2018","p.20",1.0,true
SYS-INFO,Show NTP status,"show ntp status","show ntp status","show ntp peers","show ntp","show ntp","show ntp status","","","","CLI-XRef-Guide-2018","p.20",1.0,true
SYS-INFO,Show NTP associations,"show ntp associations","show ntp associations","show ntp peer-status","show ntp","show ntp","","","","","CLI-XRef-Guide-2018","p.20",1.0,true
SYS-INFO,Show platform USB / flash,"dir flash:","dir flash:","dir bootflash:","ls","ls /intflash","dir flash:","","","","NB-Session-2026","",0.8,true
SYS-INFO,Show logging configuration,"show logging","show logging","show logging","show log configuration","show log file","show logging","","","","CLI-XRef-Guide-2018","p.39",1.0,true
SYS-INFO,Show log buffer,"show logging | head","show logging | head","show logging last 100","show log | head 100","show log file tail","show logging","","","Recent log entries","CLI-XRef-Guide-2018","p.39",0.8,true
SYS-INFO,Show SNMP status,"show snmp","show snmp","show snmp","show snmp","show snmp","show snmp","","","","CLI-XRef-Guide-2018","p.40",1.0,true
SYS-INFO,Show processes,"show processes","show processes","show processes","show process","show process monitor","show processes","","","Lists running system processes","CLI-XRef-Guide-2018","p.35",0.8,true
SYS-INFO,Show switch stack info (IOS-XE),"","show switch detail","","show stacking","show isis adjacency","","","","IOS-XE stacking; EXOS stacking; VOSS IS-IS for fabric","CLI-XRef-Guide-2018","p.41",1.0,true
SYS-INFO,Show stacking detail (EXOS),"","","","show stacking detail","","","","","","EXOS-22.7-UG","p.400",1.0,true
SYS-INFO,Show slot (EXOS),"","","","show slot","","","","","Modular chassis slot status","EXOS-22.7-UG","p.55",1.0,true
SYS-INFO,Show card (VOSS),"","","","","show card","","","","VOSS modular card status","VOSS-8.9-UG","p.58",1.0,true
SYS-INFO,Show VOSS sys-info summary,"","","","","show sys-info","","","","Shows hostname, IP, uptime, version in one command","VOSS-8.9-UG","p.50",1.0,true
SYS-INFO,Show interface status brief,"show interfaces status","show interfaces status","show interface status","show ports information","show interfaces GigabitEthernet all","show interface status","","","One-line per-port status","CLI-XRef-Guide-2018","p.42",1.0,true
SYS-INFO,Show all interfaces brief,"show ip interface brief","show ip interface brief","show ip interface brief","show ipconfig","show ip interface","show ip interface brief","","","L3 IP summary per interface","CLI-XRef-Guide-2018","p.42",1.0,true
SYS-INFO,Show tech-support bundle,"show tech-support","show tech-support","show tech-support","show tech-support","show tech-support","copy support","","","Collects full diagnostic dump","CLI-XRef-Guide-2018","p.43",1.0,true
SYS-INFO,Show platform resources (NX-OS),"","","show system resources","","","","","","CPU, memory, processes summary","NB-Session-2026","",0.8,true
SYS-INFO,Show routing table summary,"show ip route summary","show ip route summary","show ip route summary","show iproute summary","show ip route summary","show ip route summary","","","","CLI-XRef-Guide-2018","p.44",0.8,true
SYS-INFO,Show ARP table,"show ip arp","show ip arp","show ip arp","show arp","show arp","show arp","","","","CLI-XRef-Guide-2018","p.44",1.0,true
SYS-INFO,Show MAC address table,"show mac address-table","show mac address-table","show mac address-table","show fdb","show vlan fdb <id>","show mac-address-table","","","","CLI-XRef-Guide-2018","p.44",1.0,true
SYS-INFO,Show LLDP neighbors,"show lldp neighbors","show lldp neighbors detail","show lldp neighbors","show lldp neighbors","show lldp neighbor","show lldp neighbors","","","","CLI-XRef-Guide-2018","p.45",1.0,true
SYS-INFO,Show CDP neighbors,"show cdp neighbors","show cdp neighbors detail","show cdp neighbors","show cdp neighbor-info ports all","","show cdp neighbors","","","VOSS does not support CDP","CLI-XRef-Guide-2018","p.45",1.0,true
SYS-INFO,Show VLAN database summary,"show vlan","show vlan","show vlan","show vlan","show vlan basic","show vlan brief","","","","CLI-XRef-Guide-2018","p.44",1.0,true
SYS-INFO,Show flash/NVRAM used space,"show flash: | include bytes","dir flash: | include bytes","dir bootflash:","df -k","df -h /intflash","dir flash:","","","EXOS/VOSS support Unix df command","NB-Session-2026","",0.8,true
SYS-INFO,Show spanning-tree summary,"show spanning-tree summary","show spanning-tree summary","show spanning-tree summary","show stpd","show spanning-tree","show spanning-tree summary","","","","CLI-XRef-Guide-2018","p.44",1.0,true
SYS-INFO,Show OSPF neighbor summary,"show ip ospf neighbor","show ip ospf neighbor","show ip ospf neighbors","show ospf neighbor","show ip ospf neighbor","show ip ospf neighbor","","","","CLI-XRef-Guide-2018","p.44",1.0,true
SYS-INFO,Show BGP summary,"show ip bgp summary","show ip bgp summary","show bgp ipv4 unicast summary","show bgp summary","show ip bgp summary","show ip bgp summary","","","","CLI-XRef-Guide-2018","p.44",1.0,true
SYS-INFO,VOSS show software detail,"","","","","show software detail","","","","Shows primary/secondary image names and active partition","VOSS-8.9-UG","p.50",1.0,true
SYS-INFO,EXOS show version images,"","","","show version images","","","","","Lists installed images on each partition","EXOS-22.7-UG","p.66",1.0,true
SYS-INFO,Show platform interface counters,"show interfaces <p> counters","show interfaces <p> counters","show interface <p> counters","show ports <p> statistics","show interfaces GigabitEthernet <p> counters","show interface <p> counters","","","Per-interface traffic counters","CLI-XRef-Guide-2018","p.42",1.0,true
SYS-INFO,Show platform errors,"show interfaces <p> counters errors","show interfaces <p> counters errors","show interface <p> counters errors","show ports <p> rxerrors","show interfaces GigabitEthernet <p>","","","","","CLI-XRef-Guide-2018","p.42",1.0,true
SYS-INFO,Show system health summary (NX-OS),"","","show system health","","","","","","NX-OS health monitoring command","NB-Session-2026","",0.8,true
SYS-INFO,Show VRF list,"show ip vrf","show vrf","show vrf","show vr","show ip vrf","show vrf","","","","CLI-XRef-Guide-2018","p.45",1.0,true
SYS-INFO,Show configuration diff (IOS-XE),"","show archive config differences","show diff rollback-patch running-config startup-config","show configuration diff","","","","","Compare running vs startup config","NB-Session-2026","",0.8,true
SYS-INFO,Show spanning-tree port detail,"show spanning-tree interface <p> detail","show spanning-tree interface <p> detail","show spanning-tree interface <p> detail","show stpd <name> ports <p>","show spanning-tree port <p>","","","","","CLI-XRef-Guide-2018","p.44",1.0,true
