tag,functional_intent,cisco_ios,cisco_iosxe,cisco_nxos,extreme_exos,extreme_voss,extreme_slxos,negation_cisco,negation_en,notes,source_ref,page_ref,confidence,is_verified
[DIAG-LOG],Ping to test connectivity,ping <ip>,ping <ip>,ping <ip>,ping <ip>,ping <ip>,ping <ip>,,,"All platforms support basic ICMP ping",CLI-XRef-Guide-2018,p.105,1.0,true
[DIAG-LOG],Extended ping,"ping <ip> repeat <n> size <s>","ping <ip> repeat <n> size <s>","ping <ip> count <n>","ping <ip> count <n> packetsize <s>","ping <ip> count <n>","ping <ip> count <n>",,,EXOS uses count keyword; VOSS uses count,CLI-XRef-Guide-2018,p.105,1.0,true
[DIAG-LOG],Traceroute to destination,traceroute <ip>,traceroute <ip>,traceroute <ip>,traceroute <ip>,traceroute <ip>,traceroute <ip>,,,Standard traceroute on all platforms,CLI-XRef-Guide-2018,p.106,1.0,true
[DIAG-LOG],Show interface counters,show interfaces <int> counters,show interfaces <int> counters,show interface <int> counters,show ports <port> statistics,"show interfaces gigabitEthernet <slot/port> statistics",show interface <int> counters,,clear counters / clear port statistics,NX-OS uses interface; EXOS uses ports,CLI-XRef-Guide-2018,p.72,1.0,true
[DIAG-LOG],Clear interface counters,clear counters <int>,clear counters <int>,clear counters interface <int>,clear counters ports <port>,"clear statistics port <slot/port>",clear counters interface <int>,,,,,CLI-XRef-Guide-2018,p.72,1.0,true
[DIAG-LOG],Show system log,show logging,show logging,show logging,show log,show logging,show logging,,,EXOS uses show log,CLI-XRef-Guide-2018,p.108,1.0,true
[DIAG-LOG],Show CPU utilization,show processes cpu,show processes cpu,show processes cpu,show cpu-monitoring,show cpu-utilization,show processes cpu,,,EXOS: show cpu-monitoring; VOSS: show cpu-utilization,CLI-XRef-Guide-2018,p.109,1.0,true
[DIAG-LOG],Show memory utilization,show processes memory,show processes memory,show system resources,show memory,show memory,show processes memory,,,,,CLI-XRef-Guide-2018,p.109,1.0,true
[DIAG-LOG],Show MAC address table,show mac address-table,show mac address-table,show mac address-table,show fdb,show fdb,show mac address-table,clear mac address-table,clear fdb,EXOS/VOSS use fdb for forwarding database,CLI-XRef-Guide-2018,p.74,1.0,true
[DIAG-LOG],Show ARP table,show ip arp,show ip arp,show ip arp,show iparp,show arp,show ip arp,clear ip arp,clear iparp,EXOS: show iparp (no space),CLI-XRef-Guide-2018,p.103,1.0,true
[DIAG-LOG],Show routing table,show ip route,show ip route,show ip route,show iproute,show ip route,show ip route,,,EXOS: show iproute (no space),CLI-XRef-Guide-2018,p.96,1.0,true
[DIAG-LOG],Show spanning tree status,show spanning-tree,show spanning-tree,show spanning-tree,show stpd,show spanning-tree,show spanning-tree,,,EXOS uses show stpd <domain>,CLI-XRef-Guide-2018,p.80,1.0,true
[DIAG-LOG],Show LLDP neighbors,show lldp neighbors,show lldp neighbors,show lldp neighbors,show lldp neighbors,show lldp neighbors,show lldp neighbors,,,All platforms; NX-OS requires feature lldp,CLI-XRef-Guide-2018,p.86,1.0,true
[DIAG-LOG],Show CDP neighbors,show cdp neighbors,show cdp neighbors,show cdp neighbors,,,,,,"Cisco only; EXOS/VOSS use LLDP instead",CLI-XRef-Guide-2018,p.86,1.0,true
[DIAG-LOG],Show VLAN status,show vlan,show vlan,show vlan,show vlan,show vlan,show vlan,,,All platforms support show vlan,CLI-XRef-Guide-2018,p.62,1.0,true
