tag,functional_intent,cisco_ios,cisco_iosxe,cisco_nxos,extreme_exos,extreme_voss,extreme_slxos,negation_cisco,negation_en,notes,source_ref,page_ref,confidence,is_verified
L2-SEG,Create VLAN,"vlan <id> | name <name>","vlan <id> | name <name>","vlan <id> | name <name>","create vlan <name> tag <id>","vlan create <id> name <name> type port-mstprstp 0","vlan <id> | name <name>","no vlan <id>","delete vlan <name>","EXOS: name first, then tag; VOSS: type specifies STP instance","CLI-XRef-Guide-2018","p.100",1.0,true
L2-SEG,Show VLAN database,"show vlan","show vlan","show vlan","show vlan","show vlan basic","show vlan brief","","","","CLI-XRef-Guide-2018","p.101",1.0,true
L2-SEG,Show VLAN detail,"show vlan id <id>","show vlan id <id>","show vlan id <id>","show vlan detail tag <id>","show vlan id <id>","show vlan <id>","","","","CLI-XRef-Guide-2018","p.101",1.0,true
L2-SEG,Delete VLAN,"no vlan <id>","no vlan <id>","no vlan <id>","delete vlan <name>","vlan delete <id>","no vlan <id>","","","","CLI-XRef-Guide-2018","p.101",1.0,true
L2-SEG,Configure access port (untagged),"interface <p> | switchport mode access | switchport access vlan <id>","interface <p> | switchport mode access | switchport access vlan <id>","interface <p> | switchport mode access | switchport access vlan <id>","configure vlan <name> add ports <p> untagged","vlan members add <id> <p> portmember","interface <p> | switchport mode access | switchport access vlan <id>","no switchport access vlan","configure vlan <name> delete ports <p>","EXOS: add port to vlan as untagged","CLI-XRef-Guide-2018","p.102",1.0,true
L2-SEG,Configure trunk port (tagged),"interface <p> | switchport mode trunk | switchport trunk allowed vlan <ids>","interface <p> | switchport mode trunk | switchport trunk allowed vlan <ids>","interface <p> | switchport mode trunk | switchport trunk allowed vlan <ids>","configure vlan <name> add ports <p> tagged","encapsulation dot1q | vlan members add <id> <p>","interface <p> | switchport mode trunk | switchport trunk allowed vlan <ids>","no switchport mode trunk","configure vlan <name> delete ports <p>","VOSS: encapsulation dot1q enables 802.1Q on port","CLI-XRef-Guide-2018","p.103",1.0,true
L2-SEG,Add VLAN to trunk,"switchport trunk allowed vlan add <id>","switchport trunk allowed vlan add <id>","switchport trunk allowed vlan add <id>","configure vlan <name> add ports <p> tagged","vlan members add <id> <p>","switchport trunk allowed vlan add <id>","switchport trunk allowed vlan remove <id>","configure vlan <name> delete ports <p>","","CLI-XRef-Guide-2018","p.103",1.0,true
L2-SEG,Remove VLAN from trunk,"switchport trunk allowed vlan remove <id>","switchport trunk allowed vlan remove <id>","switchport trunk allowed vlan remove <id>","configure vlan <name> delete ports <p>","vlan members remove <id> <p>","switchport trunk allowed vlan remove <id>","","","","CLI-XRef-Guide-2018","p.103",1.0,true
L2-SEG,Set native VLAN on trunk,"switchport trunk native vlan <id>","switchport trunk native vlan <id>","switchport trunk native vlan <id>","configure vlan <name> add ports <p> untagged","untag-port-default-vlan enable","switchport trunk native vlan <id>","no switchport trunk native vlan","","EXOS: one VLAN per port can be untagged (native)","CLI-XRef-Guide-2018","p.103",1.0,true
L2-SEG,Show trunk port membership,"show interfaces trunk","show interfaces trunk","show interface trunk","show vlan | show ports information","show vlan members","show interfaces trunk","","","","CLI-XRef-Guide-2018","p.104",1.0,true
L2-SEG,Show MAC address table,"show mac address-table","show mac address-table","show mac address-table","show fdb","show vlan fdb <id>","show mac-address-table","","","","CLI-XRef-Guide-2018","p.104",1.0,true
L2-SEG,Show MAC for specific VLAN,"show mac address-table vlan <id>","show mac address-table vlan <id>","show mac address-table vlan <id>","show fdb vlan <name>","show vlan fdb <id>","show mac-address-table vlan <id>","","","","CLI-XRef-Guide-2018","p.104",1.0,true
L2-SEG,Show MAC for specific port,"show mac address-table interface <p>","show mac address-table interface <p>","show mac address-table interface <p>","show fdb ports <p>","show vlan fdb port <p>","show mac-address-table interface <p>","","","","CLI-XRef-Guide-2018","p.104",0.8,true
L2-SEG,Clear MAC address table,"clear mac address-table dynamic","clear mac address-table dynamic","clear mac address-table dynamic","clear fdb","clear mac-address-table dynamic","clear mac-address-table dynamic","","","","CLI-XRef-Guide-2018","p.104",1.0,true
