tag,functional_intent,cisco_ios,cisco_iosxe,cisco_nxos,extreme_exos,extreme_voss,extreme_slxos,negation_cisco,negation_en,notes,source_ref,page_ref,confidence,is_verified
ONBOARD,Factory reset device,"write erase | reload","factory-reset all","write erase | reload","unconfigure switch all","boot config flags factorydefaults | boot -y","bmc factory reset","reload (after write erase)","boot -y / unconfigure switch all","IOS uses write erase then reload; IOS-XE has dedicated factory-reset command","CLI-XRef-Guide-2018","p.12",1.0,true
ONBOARD,Reload / reboot device,reload,reload,reload,reboot,"boot -y",reload,reload,reboot,"EXOS uses 'reboot'; VOSS uses 'boot -y' for unattended reboot","CLI-XRef-Guide-2018","p.12",1.0,true
ONBOARD,Set hostname,"hostname <name>","hostname <name>","hostname <name>","configure snmp sysName <name>","prompt <name>","hostname <name>","no hostname","configure snmp sysName """" / no prompt","EXOS sets hostname via SNMP sysName; VOSS uses prompt command","CLI-XRef-Guide-2018","p.14",1.0,true
ONBOARD,Default console baud rate,"(9600 8N1 no flow)","(9600 8N1 no flow)","(9600 8N1 no flow)","(9600 8N1 no flow)","(9600 8N1 no flow)","(9600 8N1 no flow)","","","All platforms default to 9600 8N1 no hardware flow control","CLI-XRef-Guide-2018","p.10",1.0,true
ONBOARD,First login — default credentials,"(no creds — press Enter)","(no creds — press Enter)","admin / (no password)","admin / (no password)","rwa / rwa","admin / (no password)","","","VOSS default user is rwa (read-write-all); NX-OS prompts for password setup on first boot","CLI-XRef-Guide-2018","p.11",1.0,true
ONBOARD,Enter privileged exec mode,enable,enable,enable,"(already in admin mode)","(already in admin mode)","(already in admin mode)","disable","","Cisco requires enable; Extreme platforms start in privileged context","CLI-XRef-Guide-2018","p.11",0.8,true
ONBOARD,Zero-touch provisioning — enable,"(auto on older IOS)","feature pnp","system poap","show auto-provision","auto-sense enable","show ztp status","no feature pnp","","IOS-XE uses PnP; NX-OS uses POAP; VOSS uses Auto-Sense/ZTF","NB-Session-2026","",1.0,true
ONBOARD,Show ZTP / auto-provision status,"","show pnp status","show boot | section poap","show auto-provision","show auto-sense port all","show ztp status","","","","NB-Session-2026","",0.8,true
ONBOARD,Auto-sense enable (VOSS ZTF),"","","","","auto-sense enable","","","","VOSS Zero Touch Fabric; auto-discovers neighbors and assigns I-SIDs","VOSS-8.9-UG","p.45",1.0,true
ONBOARD,Boot from primary image,"boot system flash:<file>","boot system flash:<file>","boot nxos <file>","use image partition primary","boot config flags","","no boot system","","EXOS uses partitioned image slots (primary/secondary)","CLI-XRef-Guide-2018","p.13",1.0,true
ONBOARD,Boot from secondary image,"boot system flash:<file>","boot system flash:<file>","boot nxos <file>","use image partition secondary","boot config flags","","","","EXOS maintains two image partitions","CLI-XRef-Guide-2018","p.13",1.0,true
ONBOARD,Show boot parameters,"show boot","show boot","show boot","show switch","show boot config flags","","","","Shows which image will load on next reload","CLI-XRef-Guide-2018","p.13",1.0,true
ONBOARD,Change enable / privileged password,"enable password <pw>","enable secret <pw>","enable secret <pw>","configure account admin password","cli password WORD<1-20> read-write-all","username admin password <pw>","no enable password","no enable secret","IOS-XE should use 'secret' (MD5/SCRYPT) not 'password' (plaintext)","CLI-XRef-Guide-2018","p.15",1.0,true
ONBOARD,Set enable secret (encrypted),"enable secret <pw>","enable secret <pw>","enable secret <pw>","configure account admin password","cli password WORD read-write-all","","no enable secret","","Type 5 MD5 on older IOS; Type 8/9 on newer IOS-XE","CLI-XRef-Guide-2018","p.15",1.0,true
ONBOARD,Create local user account,"username <name> privilege 15 password <pw>","username <name> privilege 15 secret <pw>","username <name> password <pw> role network-admin","create account admin <name>","cli password WORD layer3","username <name> role admin","no username <name>","delete account <name>","VOSS uses cli password with access level (layer3 = admin)","CLI-XRef-Guide-2018","p.15",1.0,true
ONBOARD,Create read-only user account,"username <name> privilege 1 password <pw>","username <name> privilege 1 secret <pw>","username <name> password <pw> role network-operator","create account user <name>","cli password WORD read-only","username <name> role user","no username <name>","delete account <name>","","CLI-XRef-Guide-2018","p.15",0.8,true
ONBOARD,Set console line password,"line console 0 | password <pw> | login","line console 0 | password <pw> | login","line console 0 | password <pw> | login","configure account admin password","cli password WORD read-write-all","","no password (under line console)","","Cisco: configure under line console 0","CLI-XRef-Guide-2018","p.16",1.0,true
ONBOARD,Set VTY line password,"line vty 0 4 | password <pw> | login","line vty 0 4 | password <pw> | login","line vty 0 4 | password <pw> | login","configure account admin password","cli password WORD read-write-all","","no password (under line vty)","","","CLI-XRef-Guide-2018","p.16",1.0,true
ONBOARD,Configure management IP (OOB),"interface mgmt0 | ip address <ip> <mask>","interface GigabitEthernet0 | ip address <ip> <mask>","interface mgmt0 | ip address <ip>/<prefix>","configure vlan Mgmt ipaddress <ip>/<prefix>","interface mgmt | ip address <ip> <mask>","interface Management 0 | ip address <ip>/<prefix>","no ip address","no ip address","NX-OS management is mgmt0; VOSS has dedicated mgmt VRF","CLI-XRef-Guide-2018","p.17",1.0,true
ONBOARD,Set management default gateway,"ip default-gateway <gw>","ip default-gateway <gw>","ip route 0.0.0.0/0 <gw> vrf management","configure iproute add default <gw> vr VR-Mgmt","ip route vrf mgmt 0.0.0.0 0.0.0.0 <gw>","ip route 0.0.0.0/0 <gw>","no ip default-gateway","configure iproute delete default <gw> vr VR-Mgmt","For OOB management routing","CLI-XRef-Guide-2018","p.17",1.0,true
ONBOARD,Show management interface,"show interface mgmt0","show interface GigabitEthernet0","show interface mgmt0","show vlan Mgmt","show interface mgmt | show ip interface","show interface Management 0","","","","CLI-XRef-Guide-2018","p.17",0.8,true
ONBOARD,Password recovery — initiate,"(boot to rommon — break key during boot)","(boot to rommon — break key during boot)","(loader prompt — reload with break)","(press Spacebar at boot for bootrom)","(technical support required)","","","","Cisco: set config-register 0x2142 in rommon then reload","CLI-XRef-Guide-2018","p.18",1.0,true
ONBOARD,Password recovery — IOS method,"flash_init | load_helper | rename flash:config.text flash:config.old","flash_init | load_helper | rename flash:config.text flash:config.old","","","","","","","Run from rommon; renames config so device boots without it","CLI-XRef-Guide-2018","p.18",1.0,true
ONBOARD,Show current users / sessions,"show users","show users","show users","show session","show telnet-access","show users","","","","CLI-XRef-Guide-2018","p.19",1.0,true
ONBOARD,Set config register for normal boot,"config-register 0x2102","config-register 0x2102","","","","","","","After password recovery; restores normal boot behavior","CLI-XRef-Guide-2018","p.18",1.0,true
ONBOARD,POAP (NX-OS auto-provisioning),"","","system poap","","","","","","NX-OS Power-On Auto Provisioning — USB or DHCP+TFTP","NB-Session-2026","",1.0,true
