tag,functional_intent,cisco_ios,cisco_iosxe,cisco_nxos,extreme_exos,extreme_voss,extreme_slxos,negation_cisco,negation_en,notes,source_ref,page_ref,confidence,is_verified
MGMT-OPS,Save running config to startup,"write memory","copy running-config startup-config","copy running-config startup-config",save,"save config","copy running-config startup-config","","","EXOS 'save' writes primary.cfg","CLI-XRef-Guide-2018","p.210",1.0,true
MGMT-OPS,Backup config to TFTP,"copy startup-config tftp://<ip>/<file>","copy startup-config tftp://<ip>/<file>","copy startup-config tftp://<ip>/<file>","tftp put <ip> <file> vr VR-Mgmt","copy config tftp address <ip> filename <file>","copy startup-config tftp://<ip>/<file>","","","","CLI-XRef-Guide-2018","p.211",1.0,true
MGMT-OPS,Restore config from TFTP,"copy tftp://<ip>/<file> startup-config","copy tftp://<ip>/<file> startup-config","copy tftp://<ip>/<file> running-config","tftp get <ip> <file> vr VR-Mgmt | use configuration <file>","copy tftp config address <ip> filename <file>","copy tftp://<ip>/<file> startup-config","","","EXOS: get file then select as active config","CLI-XRef-Guide-2018","p.211",1.0,true
MGMT-OPS,Backup config to SCP,"copy running-config scp://<user>@<ip>/<path>","copy running-config scp://<user>@<ip>/<path>","copy running-config scp://<user>@<ip>/<path>","scp <file> <user>@<ip>:<path> vr VR-Mgmt","","","","","Secure copy preferred over TFTP","NB-Session-2026","",0.8,true
MGMT-OPS,Configure NTP server,"ntp server <ip>","ntp server <ip>","ntp server <ip>","configure ntp server add <ip>","ntp server <ip>","ntp server <ip>","no ntp server <ip>","configure ntp server delete <ip>","","CLI-XRef-Guide-2018","p.212",1.0,true
MGMT-OPS,Configure NTP source interface,"ntp source <interface>","ntp source <interface>","ntp source-interface <interface>","configure ntp server add <ip> vr VR-Mgmt","ntp source-interface mgmt","","no ntp source","","Specifies interface used for NTP packets","CLI-XRef-Guide-2018","p.212",0.8,true
MGMT-OPS,Show NTP status,"show ntp status","show ntp status","show ntp peers","show ntp","show ntp","show ntp status","","","Verify time synchronization state","CLI-XRef-Guide-2018","p.213",1.0,true
MGMT-OPS,Show NTP associations,"show ntp associations","show ntp associations","show ntp peer-status","show ntp","show ntp","","","","Lists NTP servers and stratum","CLI-XRef-Guide-2018","p.213",1.0,true
MGMT-OPS,Configure syslog server,"logging <ip>","logging host <ip>","logging server <ip>","configure syslog add <ip>","logging <ip>","logging syslog host <ip>","no logging <ip>","configure syslog delete <ip>","","CLI-XRef-Guide-2018","p.214",1.0,true
MGMT-OPS,Set syslog severity level,"logging trap informational","logging trap informational","logging level <facility> <level>","configure log target syslog <ip> severity info","logging level <n>","","no logging trap","","informational = level 6","CLI-XRef-Guide-2018","p.214",1.0,true
