tag,functional_intent,cisco_ios,cisco_iosxe,cisco_nxos,extreme_exos,extreme_voss,extreme_slxos,negation_cisco,negation_en,notes,source_ref,page_ref,confidence,is_verified
FAB-SDN,Enable IS-IS routing process,"router isis","router isis","feature isis | router isis 1","configure isis instance <name>","router isis","","no router isis","","EXOS uses named IS-IS instances","CLI-XRef-Guide-2018","p.140",1.0,true
FAB-SDN,SPBM / Fabric Connect global enable (VOSS),"","","","","router isis | spbm 1 | ip-multicast-over-fabric enable | isis spbm-instance 1","","","","VOSS IS-IS-based fabric; SPB is mandatory for Fabric Connect","VOSS-8.9-UG","p.200",1.0,true
FAB-SDN,IS-IS enable on interface (VOSS),"","","","","isis spbm-instance 1 l1-metric 10","","","","Enables IS-IS adjacency and sets link metric on VOSS port","VOSS-8.9-UG","p.201",1.0,true
FAB-SDN,IS-IS enable on interface (NX-OS),"","","interface <p> | ip router isis 1","","","","","","Applies IS-IS process to interface","NB-Session-2026","",1.0,true
FAB-SDN,IS-IS enable on EXOS VLAN,"","","","configure isis add vlan <name>","","","","configure isis delete vlan <name>","Associates VLAN with IS-IS process on EXOS","EXOS-22.7-UG","p.350",0.8,true
FAB-SDN,Show IS-IS adjacencies,"","show isis adjacency","show isis adjacency","show isis adjacency","show isis adjacency","","","","All platforms use same show command","CLI-XRef-Guide-2018","p.141",1.0,true
FAB-SDN,Show IS-IS database (LSDB),"","show isis database","show isis database","show isis database","show isis lsdb","","","","","CLI-XRef-Guide-2018","p.141",1.0,true
FAB-SDN,Show SPBM status (VOSS),"","","","","show isis spbm","","","","Shows SPBM B-VLANs and NNI port states","VOSS-8.9-UG","p.205",1.0,true
FAB-SDN,Show SPBM LSDB (VOSS),"","","","","show isis lsdb","","","","Link-state database for SPB topology","VOSS-8.9-UG","p.205",1.0,true
FAB-SDN,Auto-sense enable (VOSS ZTF),"","","","","auto-sense enable","","","","Zero-Touch Fabric; auto-discovers and connects to SPBM fabric","VOSS-8.9-UG","p.45",1.0,true
